id,source,sentence_1,sentence_2,label,binary-label
boostcamp-sts-v1-train-000,nsmc-sampled,짜릿하고 반전이 있어요. 다른 한국 영화 쓰레기와는 다르다.,"반전이 있고, 사랑이 있고, 재미가 있다.",2.2,0.0
boostcamp-sts-v1-train-001,slack-rtt,접속이 안된다고 뜨네요;;,"아, 접속이 안 된다고 하네요.",4.2,1.0
boostcamp-sts-v1-train-002,petition-sampled,주택 청약 조건을 변경해 주세요.,주택가입 및 무주택 기준을 변경해 주세요.,2.4,0.0
boostcamp-sts-v1-train-003,slack-sampled,입사 후 처음 뵙게 되어 반가웠습니다.,너를 비디오로만 보고 실제로 보니 정말 좋았어.,3.0,1.0
boostcamp-sts-v1-train-004,slack-sampled,정말 자랑스러워요!,뽀뽀를 직접 만나봅시다.,0.0,0.0
boostcamp-sts-v1-train-005,nsmc-rtt,"세상에, 나 스크램블 에그야.","오마이갓, 맙소사. 스크론 이스트",2.6,1.0
boostcamp-sts-v1-train-006,slack-rtt,어두운 하늘을 찍어도... 울음,암만 찍어도 하늘은 까맣다.. ㅠㅠ,3.6,1.0
boostcamp-sts-v1-train-007,nsmc-sampled,이렇게 귀여운 쥐는 본 적이 없어요.하하하.,나는 그렇게 지루한 공포 영화를 본 적이 없다.,0.6,0.0
boostcamp-sts-v1-train-008,petition-sampled,미세먼지 해결이 가장 시급한 문제야!,가장 시급한 것은 신생아 관리입니다!!!,0.4,0.0
boostcamp-sts-v1-train-009,petition-sampled,크림 하우스를 환불해 주세요.,크림 하우스를 환불할 수 있게 해주세요.,4.2,1.0
boostcamp-sts-v1-train-010,slack-rtt,당장이라도 그 책을 꺼내야겠어요!,책에서 꺼내야겠어!,2.4,0.0
boostcamp-sts-v1-train-011,nsmc-sampled,드라마가 너무 느려서 답답하다.,개발이 너무 느려서 답답하다.,3.8,1.0
boostcamp-sts-v1-train-012,nsmc-rtt,오랜만에 존 쿠삭의 연기를 보니 좋다~~!!,오랜만에 존 쿠삭의 공연을 보니 반갑다. 좋아요!,3.8,1.0
boostcamp-sts-v1-train-013,nsmc-sampled,몰라. 몰라. 몰라.,큰 반전은 없었던 것 같은데...,1.8,0.0
boostcamp-sts-v1-train-014,slack-sampled,아래는 게임 내에서 함께 팀을 이루어 캡처한 이미지입니다.,다양한 아이디어를 제안하고 공유할 수 있는 채널입니다.,0.0,0.0
boostcamp-sts-v1-train-015,petition-sampled,LG전자 스마트폰 생산 중단 청원,LG전자 노조 와해 사건 수사 부탁드립니다.,0.4,0.0
boostcamp-sts-v1-train-016,slack-sampled,만약 당신이 60살이라면요? 이렇게 재미있는 이야기를 하다 보니 시간이 빨리 흘렀어요.,그렇게 재미있는 이야기를 하고 나니 시간이 빨리 흘렀어요.,3.0,1.0
boostcamp-sts-v1-train-017,petition-rtt,최종구 소방금융위원장!,최종구 금융위원장 해고!,3.8,1.0
boostcamp-sts-v1-train-018,petition-rtt,정부의 도움이 절실히 필요하다.,우리는 정부의 도움이 절실히 필요하다.,4.0,1.0
boostcamp-sts-v1-train-019,petition-sampled,내년 러시아 월드컵을 자진 포기하길 간청한다.,나는 2023년 아시안 컵 공동 개최에 반대한다.,0.0,0.0
boostcamp-sts-v1-train-020,slack-sampled,너 앞머리 새로 생겼어. ^^,나는 그것을 가방에 넣고 조금씩 먹는다. ^^,0.0,0.0
boostcamp-sts-v1-train-021,petition-rtt,"김기덕, 조재현 성폭행 철저히 수사해 주세요!","김기덕, 조재현 성폭행 의혹 철저히 수사하라!",4.2,1.0
boostcamp-sts-v1-train-022,slack-sampled,답답할 때 배가 터질 것 같아요.,한 입만 먹으면 금방 풀릴 것 같아 ㅋㅋ,0.0,0.0
boostcamp-sts-v1-train-023,nsmc-sampled,노래와 잘 어울리는 영상 덕분에 짧지만 강한 인상을 받았다.,조금 유치하긴 하지만 가볍게 볼 수 있는 영화야!,0.0,0.0
boostcamp-sts-v1-train-024,nsmc-rtt,"군대 가기 전에 봤는데, 윈터스 같은 사람이 상사였다면 목숨을 걸고 싸웠어도 후회하지 않을까? 라고 생각했던 것을 기억한다.","난 네가 입대하기 전에 널 봤고, 윈터스 같은 사람이 널 정말 아껴준다면, 넌 네 목숨을 걸고 싸운 것에 대해 후회하지 않을 거야, 그렇지? 라고 생각했던 것을 기억한다.",4.2,1.0
boostcamp-sts-v1-train-025,petition-rtt,국민청원 게시물을 삭제하는 청와대 뉴미디어정책실은 억울한 피해자를 살해하고 경찰에 증거물을 제출하며 악플러들을 살리기 위해 이를 숨기고 있다.,"국민청원을 삭제하는 청와대 뉴미디어정책실이 억울한 피해자를 살해하고, 경찰에 증거물을 제출하고, 악플러들을 구제하기 위해 은폐하고 있다.",4.0,1.0
boostcamp-sts-v1-train-026,petition-sampled,전두환을 처벌해 주세요,이재용을 체포해 주세요.,0.2,0.0
boostcamp-sts-v1-train-027,slack-rtt,"마지막으로 원격근무의 장점에 대해 이야기했고, 시간을 효율적으로 사용할 수 있어서 감사했고, 원격근무의 장점을 다시 한 번 느낄 수 있었다 하하","마지막으로 재택근무의 장점에 대해 이야기를 나누었는데, 시간을 효율적으로 사용할 수 있어서 감사했고 재택근무의 장점을 다시 한번 느낄 수 있었습니다.",4.2,1.0
boostcamp-sts-v1-train-028,slack-rtt,겨울산도 예쁘지만 잘 오르지 못해 대리만족이다.,"겨울 산도 예쁘지만, 나는 등산을 잘 하지 못하기 때문에 만족한다.",3.2,1.0
boostcamp-sts-v1-train-029,nsmc-rtt,남의 파멸을 폭로한 영화,자신의 파멸을 드러내는 영화,3.6,1.0
