id,target
boostcamp-sts-v1-test-000,3.5
boostcamp-sts-v1-test-001,4.5
boostcamp-sts-v1-test-002,2.2
boostcamp-sts-v1-test-003,-0.1
boostcamp-sts-v1-test-004,3.5
boostcamp-sts-v1-test-005,2.4
boostcamp-sts-v1-test-006,4.4
boostcamp-sts-v1-test-007,1.4
boostcamp-sts-v1-test-008,0.8
boostcamp-sts-v1-test-009,4.5
boostcamp-sts-v1-test-010,2.6
boostcamp-sts-v1-test-011,2.6
boostcamp-sts-v1-test-012,1.6
boostcamp-sts-v1-test-013,1.9
boostcamp-sts-v1-test-014,1.0
boostcamp-sts-v1-test-015,4.5
boostcamp-sts-v1-test-016,4.5
boostcamp-sts-v1-test-017,2.6
boostcamp-sts-v1-test-018,4.5
boostcamp-sts-v1-test-019,4.5
boostcamp-sts-v1-test-020,2.0
boostcamp-sts-v1-test-021,2.8
boostcamp-sts-v1-test-022,2.0
boostcamp-sts-v1-test-023,0.3
boostcamp-sts-v1-test-024,1.6
boostcamp-sts-v1-test-025,1.6
boostcamp-sts-v1-test-026,0.9
boostcamp-sts-v1-test-027,1.4
boostcamp-sts-v1-test-028,3.0
boostcamp-sts-v1-test-029,3.2
boostcamp-sts-v1-test-030,4.4
boostcamp-sts-v1-test-031,1.7
boostcamp-sts-v1-test-032,2.3
boostcamp-sts-v1-test-033,3.1
boostcamp-sts-v1-test-034,2.6
boostcamp-sts-v1-test-035,0.1
boostcamp-sts-v1-test-036,3.6
boostcamp-sts-v1-test-037,0.8
boostcamp-sts-v1-test-038,1.3
boostcamp-sts-v1-test-039,3.3
boostcamp-sts-v1-test-040,0.3
boostcamp-sts-v1-test-041,3.6
boostcamp-sts-v1-test-042,0.1
boostcamp-sts-v1-test-043,1.1
boostcamp-sts-v1-test-044,1.7
boostcamp-sts-v1-test-045,4.6
boostcamp-sts-v1-test-046,0.2
boostcamp-sts-v1-test-047,1.5
boostcamp-sts-v1-test-048,0.1
boostcamp-sts-v1-test-049,2.6
boostcamp-sts-v1-test-050,-0.0
boostcamp-sts-v1-test-051,2.2
boostcamp-sts-v1-test-052,2.7
boostcamp-sts-v1-test-053,2.3
boostcamp-sts-v1-test-054,4.4
boostcamp-sts-v1-test-055,1.3
boostcamp-sts-v1-test-056,4.0
boostcamp-sts-v1-test-057,1.6
boostcamp-sts-v1-test-058,2.1
