id,source,sentence_1,sentence_2,label,binary-label,target
boostcamp-sts-v1-dev-001,slack-rtt,감격스러워 입막으심?,너무 감동해서 입 다물어?,3.4,1.0,3.6
boostcamp-sts-v1-dev-002,nsmc-rtt,이번 년도에 본 영화 중 가장 최악의 영화......,올해 본 영화 중 최악...,4.0,1.0,4.3
boostcamp-sts-v1-dev-003,slack-rtt,특히 평소 뮤직채널에 많은 영감을 불어넣어주시는!,"특히, 당신은 항상 많은 음악 채널에 영감을 줍니다!",3.4,1.0,3.9
boostcamp-sts-v1-dev-005,slack-rtt,사진 간지.. ㅋㅋ 축하드립니다,사진이 나왔어요..ㅋㅋㅋ 축하드립니다.,2.4,0.0,3.1
boostcamp-sts-v1-dev-008,slack-rtt,고수님들의 많은 가르침 부탁드립니다 <PERSON>,고수님들의 많은 지도 부탁드립니다 <PERSON>,4.6,1.0,4.4
boostcamp-sts-v1-dev-009,slack-rtt,러닝화 신었더니 뒤꿈치가 푹신해서 자꾸 앞으로 힘이 쏠리고 뒤꿈치 들리네요,런닝화를 신고 발 뒤꿈치가 부드러워서 계속 힘을 빼고 발뒤꿈치를 들어 올렸다.,3.0,1.0,3.3
boostcamp-sts-v1-dev-010,slack-rtt,우리 회사 대박을 향해 ㄱ ㄱ,우리 회사의 성공을 향해 a,3.4,1.0,4.0
boostcamp-sts-v1-dev-011,slack-rtt,영양분 편차가 균등해짐.,영양소 변화가 균일해집니다.,2.8,1.0,3.4
boostcamp-sts-v1-dev-018,slack-rtt,코파일럿은 사랑입니다,조종사는 사랑입니다,3.2,1.0,0.6
boostcamp-sts-v1-dev-020,petition-rtt,법무장관처럼 강력한 소신이 있는 정책자가 필요합니다.,법무장관처럼 확고한 신념을 가진 정책 입안자가 필요합니다.,4.0,1.0,4.4
boostcamp-sts-v1-dev-021,nsmc-rtt,영화의 야한얘기가 한편으로 우리가 생각하는 무엇인가와 통하는것같다.,한편으로 이 영화의 음란한 이야기는 우리가 생각하는 것과 관련이 있는 것 같습니다.,3.8,1.0,3.6
boostcamp-sts-v1-dev-026,petition-rtt,전기차 정부혜택 시급합니다.,전기차에 대한 정부의 혜택이 시급합니다.,4.6,1.0,4.6
boostcamp-sts-v1-dev-027,nsmc-rtt,초등학생 졸업 작품?,초등학교 졸업작품?,4.4,1.0,4.1
boostcamp-sts-v1-dev-028,slack-rtt,당연히 둘다 먹는거 아닌가요!,물론 둘 다 먹지는 않는다!,0.8,0.0,1.5
boostcamp-sts-v1-dev-032,slack-rtt,그래서 그 회사는 외부하고는 리쿠르팅 인터뷰 시간 잡을 때 정도 쓴다고 했었습니다ㅎㅎ,그래서 회사에서는 외부인과의 인터뷰를 모집할 때 사용한다고 합니다.,3.4,1.0,3.2
boostcamp-sts-v1-dev-036,slack-rtt,음악룸들 만들어 봅시다.,음악실을 만들어 봅시다.,3.8,1.0,3.5
boostcamp-sts-v1-dev-041,nsmc-rtt,그래도뭐...볼만은했음 이휘재씨덕분에..,암튼.. 볼만했어요 이휘재님 덕분에...,4.2,1.0,4.1
boostcamp-sts-v1-dev-043,nsmc-rtt,"원작이 좋은지는 모르겠으나,개인적으로 이영화만본 나는 지루함+영화의 어색함을 느꼈다.",원작이 좋은지는 모르겠지만 개인적으로 이 영화를 보고 나서 영화의 지루함 + 어색함을 느꼈다.,4.6,1.0,4.4
boostcamp-sts-v1-dev-044,slack-rtt,ㅋㅋ두분 남매 바이브,ㅎㅎ 두 남매 분위기,3.6,1.0,2.1
boostcamp-sts-v1-dev-045,petition-rtt,여성인권을 위협하는 현 상태의 특정 게임 시스템에 대하여 엄중한 처벌을 요구합니다.,여성의 인권을 위협하는 현행 특정 게임 시스템에 대한 강력한 처벌이 요구된다.,4.2,1.0,4.4
boostcamp-sts-v1-dev-051,petition-rtt,여자지만 군가산점제도 부활해주시고 무고죄 형량 강화해주시길 바랍니다,저는 여자지만 병역가점제가 되살아나 무죄가 선고되기를 바랍니다.,1.8,0.0,3.0
boostcamp-sts-v1-dev-057,petition-rtt,"여성가족부의 돌봄정책 운영실패와 방만하고 무책임한 운영에 대해 특별감사를 실시하고, 가족과 다문화정책 운영을 보건복지부로 이관해주세요!","여성가족부의 돌봄정책 운영실패와 그 소홀하고 무책임한 운영에 대해 특별감사를 실시하고, 가족 및 다문화정책 운영을 보건복지부로 이관해주세요!",4.8,1.0,4.5
boostcamp-sts-v1-dev-058,nsmc-rtt,제발 진짜 무한도전 ㅠ 이름처럼 계속 이어가면 좋겠어요..ㅠ,제발 진짜 무한도전이다 ㅠ 이름처럼 계속 이어졌으면 좋겠다.. ㅠ,4.4,1.0,4.4
boostcamp-sts-v1-dev-060,slack-rtt,이게 그렇게 인기라면서요. ㅋㅋ,이것은 인기가 많기 때문입니다. ㅋ,2.4,0.0,3.5
boostcamp-sts-v1-dev-063,slack-rtt,곧.. 다시 만나요!!,곧.. 또 만나요!!,4.0,1.0,4.6
boostcamp-sts-v1-dev-064,nsmc-rtt,"인류의 기원, 불의 사용, 자본주의에 대한 비판, 맑시즘에 대한 영화만의 해석, 자연 회기의 필요성 등 정말 한 영화에서 보여줄 수 있는 최고의 재미를 선사한다.","인류의 기원, 불의 사용, 자본주의에 대한 비판, 마르크스주의에 대한 이 영화의 유일한 해석, 그리고 자연적 재회의 필요성은 진정 한 편의 영화가 보여줄 수 있는 최고의 재미를 선사한다.",4.0,1.0,4.2
boostcamp-sts-v1-dev-065,slack-rtt,ㅋㅋ 실습까지 ㅋㅋ,ㅎㅎ 연습까지,1.8,0.0,3.8
boostcamp-sts-v1-dev-066,petition-rtt,"사대강 국민들이 그렇게 반대 했는데( 제주도 무사증, 난민법 ) 사대강 처럼 됩니다.","4대강 국민이 반대했지만(제주도 무사증, 난민법) 4대강처럼 된다.",4.5,1.0,4.5
boostcamp-sts-v1-dev-074,slack-rtt,어떤 블로그에서 이 노래 해석에 인상깊은 시를 함께 써놨길래 줍줍해왔습니당,어떤 블로그에서 이 노래의 해석을 위해 인상적인 시를 적어서 가져왔습니다.,3.2,1.0,4.0
boostcamp-sts-v1-dev-075,petition-rtt,위대하신 문대통령님!,위대한 문재인 대통령!,4.8,1.0,4.4
boostcamp-sts-v1-dev-080,slack-rtt,"클라이밍 체험기를 공유했는데요, 저는 정말 그 실내 센터의 알량한 높이마저도 조금..ㅋㅋ 무서웠습니다..",등반 경험담을 공유했는데 실내 센터의 낮은 높이에서도 정말 무서웠어요..ㅋㅋㅋㅋ,4.2,1.0,4.1
boostcamp-sts-v1-dev-081,slack-rtt,와- 뮤직페스티벌 가는 거 고려해볼 수 있는 세상이 다시 오다니~~~,와우~ 가요대축제가 생각나는 세상이 돌아온다~~~,1.8,0.0,2.9
boostcamp-sts-v1-dev-083,slack-rtt,꼭 가보고 싶어졌습니다 ㅎㅎ,정말 가고 싶었습니다.,3.2,1.0,3.6
boostcamp-sts-v1-dev-084,petition-rtt,국토부가 초래한 진에의 손실과 불이익을 책임져야합니다,진에게 입힌 손실과 불이익은 국토교통부가 책임져야 한다.,4.4,1.0,4.3
boostcamp-sts-v1-dev-094,petition-rtt,청와대 사이트 청원시스템 개선청원,청와대 홈페이지 청원 제도 개선 청원,4.8,1.0,4.5
boostcamp-sts-v1-dev-095,slack-rtt,완전 딴사람 같아요!!,완전 다른사람같아요!!,4.6,1.0,4.4
boostcamp-sts-v1-dev-096,nsmc-rtt,영화는 진짜 후회안할 만큼 매력적이다,후회하지 않을 만큼 매력적인 영화다.,4.2,1.0,4.3
boostcamp-sts-v1-dev-100,petition-rtt,원금 -70프로에요.,원금은 -70%입니다.,4.4,1.0,4.6
boostcamp-sts-v1-dev-101,petition-rtt,도대체 문제인대통령님 부동산 정책으로 17년 8.2대책으로 서울 부동산 폭등시키시고 언제까지 서민 주거 안정화 시키는겁니까?,문제가 되는 대통령의 부동산 정책대로 17년 만에 서울 부동산을 8.2로 치솟게 하고 서민의 주거를 안정시키겠다는 겁니까?,3.4,1.0,3.9
boostcamp-sts-v1-dev-103,nsmc-rtt,내몸의 세포가 모두 죽는 느낌이 들었다.,내 몸의 모든 세포가 죽어가는 것 같았다.,4.2,1.0,4.3
boostcamp-sts-v1-dev-107,petition-rtt,주류 광고에 음주에대한 경고문을 크게 만들도록 법으로 정해주세요.,주류 광고에서 음주 관련 경고를 크게 하는 법을 만들어주세요.,4.4,1.0,4.2
boostcamp-sts-v1-dev-114,slack-rtt,오.. 이런 기업들 점점 더 다양해지고 잘됐으면 좋겠네요.,"아, 이런 기업들이 더 다양해지고 번창했으면 좋겠어요.",4.4,1.0,4.1
boostcamp-sts-v1-dev-115,petition-rtt,문재인 대통령님 국민들이 마지막으로 기회주실때 잡으셔야합니다.,"문재인 대통령, 국민이 주는 마지막 기회를 잡아야 합니다.",4.2,1.0,4.3
boostcamp-sts-v1-dev-118,nsmc-rtt,이 영화를 보실 분은 이 영화보다 파라노말액티비티를 보실 것을 권합니다.,이 영화를 보고 싶다면 이 영화보다 파라노말 액티비티를 보는 것을 추천한다.,4.4,1.0,4.5
boostcamp-sts-v1-dev-119,slack-rtt,저희 방과 룸메이트를 정하는 사다리타기였습니다ㅋㅋㅎㅋㅎㅋㅎ,우리 방과 룸메이트를 결정하기 위해 사다리를 오르는 것이 었습니다 하하하하하하하,3.4,1.0,4.3
boostcamp-sts-v1-dev-121,nsmc-rtt,비록사고로인해장애인이되엇던분들용기를잃지않을려는모습이가슴에와닳앗네요,사고로 인해 장애인이 된 분들의 용기를 잃지 않으려고 애쓰는 모습이 마음에 와도 닳고 맙니다.,3.6,1.0,4.3
boostcamp-sts-v1-dev-122,slack-rtt,봄이오는 중입니다.,봄이 와요.,3.4,1.0,3.8
boostcamp-sts-v1-dev-128,slack-rtt,팀플랜해도 기능이 거의 비슷하고 조금 더 주는 정도라 고민이네요,팀플랜으로 해도 기능은 거의 비슷한데 조금 더 드려야 하나 고민입니다.,3.2,1.0,4.2
boostcamp-sts-v1-dev-133,nsmc-rtt,액션과 신파에 의존하는 그의 영화 중 머리 비우고 볼 수 있는 영화가 있어서 좋지만 이 영화는 유치해서 못볼 지경.,액션과 뉴 웨이브에 의존하는 그의 영화 중에는 머리를 비우고 볼 수 있는 영화가 있지만 이 영화는 너무 유치하다.,3.6,1.0,4.0
boostcamp-sts-v1-dev-137,slack-rtt,오늘은 하이브 (전 빅히트) 의 자회사인 쏘스뮤직에서 르세라핌 이 첫 곡 낸다고도 하네요.,오늘 르세라핌은 하이브(구 빅히트)의 자회사인 쏘스뮤직에서 첫 번째 곡을 발매한다고 합니다.,4.5,1.0,4.4
boostcamp-sts-v1-dev-138,petition-rtt,건전한 연애관을 위해 하트시그널 방송 폐지를 청원합니다.,건전한 사랑관을 위해 하트시그널 방송 폐지를 청원합니다.,4.2,1.0,4.3
boostcamp-sts-v1-dev-139,slack-rtt,"OCR 을 포함한 회사와 관련된 주제부터, 서로의 관심사인 운동 이야기까지 공감대가 많았던 대화였습니다 ㅋㅋ",OCR을 비롯해 회사와 관련된 주제부터 상호 관심사에 맞는 스포츠 이야기까지 많은 공감이 가는 대화였다.,4.0,1.0,4.4
boostcamp-sts-v1-dev-140,petition-rtt,나경원 당장 짤라라,나경원 파면해주세요,3.6,1.0,2.3
boostcamp-sts-v1-dev-144,petition-rtt,자유 한국당 해산심판 요청,자유한국당 해산심판 청구,3.8,1.0,4.5
boostcamp-sts-v1-dev-145,slack-rtt,ㅋㅋ 그때처럼 급속도로 부활하셨습니다,그는 그때만큼 빨리 부활했습니다.,3.2,1.0,3.0
boostcamp-sts-v1-dev-150,slack-rtt,한국에서도 싼 브랜드들이 있어서 왠지 이번 주 내로 제 방에 찾아올 것 같네요,한국에 싼 브랜드가 있어서 이번 주 안에 내 방에 올 것 같다.,3.8,1.0,4.2
boostcamp-sts-v1-dev-154,nsmc-rtt,남들과다르다는이유만으로 억울한 죽음을 당한 브랜든 티나의 명복을 빕니다,다른 사람들과 다르다는 이유로 부당한 죽음을 당하신 나머지 Brandon Tina를 위해 기도합니다.,4.6,1.0,3.6
boostcamp-sts-v1-dev-157,petition-rtt,소년법 폐지를 청원합니.,소년법 폐지를 청원합니다.,4.6,1.0,4.6
boostcamp-sts-v1-dev-164,slack-rtt,날이 더 추워지기 전에 한번 야외 모임 하기 좋은 타이밍이였던 것 같지만 다음 기회에!,날이 쌀쌀해지기 전에 야외모임 하기 좋은 시기인 것 같지만 다음에는!,2.8,1.0,4.1
boostcamp-sts-v1-dev-166,petition-rtt,대한민국 축구선수단,대한민국 축구대표팀,3.8,1.0,2.3
boostcamp-sts-v1-dev-170,petition-rtt,제발 아무것도‥하지마세요,제발 아무것도 하지마...,4.5,1.0,4.6
boostcamp-sts-v1-dev-171,petition-rtt,(선언만 해두고 차후에 적정시점 실행),(나중에 적절한 시점에 선언하고 실행하면 됨),1.2,0.0,3.8
boostcamp-sts-v1-dev-175,petition-rtt,북한 미사일기지에 대한 해명은 청와대 대변인이 아니라..,북한 미사일 기지에 대한 설명은 청와대 대변인이 아니라...,4.4,1.0,4.5
boostcamp-sts-v1-dev-177,petition-rtt,국민님들한테 걷은 세금을 우선 먼저 국민들의 건강을 진정 지켜주고 생활고을 만들지 않는 ''국민님복지건강의료비지원''과 국민님복지연금 운용됨 제도를 헌정공공화하여 주세요,우선 국민의 건강을 진정으로 보호하고 생활비를 발생시키지 않는 '국민복지 건강의료비 지원'과 '국민복지연금 운영체계'를 널리 알려주세요.,3.2,1.0,3.3
boostcamp-sts-v1-dev-178,petition-rtt,성범죄를 줄이기 위해 모텔 입실시 프론트에서 성관계 '가or불가'에 대한 확인서를 작성하면 좋을듯합니다,성범죄를 줄이기 위해서는 모텔에 들어갈 때 프론트 데스크에서 '성관계 가능 여부' 확인서를 작성하는 것이 좋다.,4.2,1.0,4.3
boostcamp-sts-v1-dev-179,petition-rtt,가상화폐투자 금감원만 아니라 관련 부서 공무원들 다 전수조사 해주세요,금감원 뿐만 아니라 관련 부처의 모든 공무원에 대해서도 철저히 조사해 주십시오.,3.6,1.0,3.6
boostcamp-sts-v1-dev-182,nsmc-rtt,역시 스탠리 큐브릭. 최고다,역시 스탠리 큐브릭. 최고,4.6,1.0,4.7
boostcamp-sts-v1-dev-185,nsmc-rtt,오랜만에 진짜 개그영화를 봤네요.,오랜만에 리얼 개그 영화를 봤다.,4.0,1.0,4.4
boostcamp-sts-v1-dev-186,slack-rtt,#수경재배입문챕터 #파릇파릇,#수경재배 입문서 #Greenery,3.2,1.0,3.1
boostcamp-sts-v1-dev-187,nsmc-rtt,기타노 타케시의 연기는 정말.. 그사람을 연기한다,키타노 타케시의 연기는 정말.. 그 사람을 연기합니다.,4.6,1.0,3.5
boostcamp-sts-v1-dev-189,slack-rtt,오오 환영합니다!!!,오 환영합니다!!!,4.6,1.0,4.7
boostcamp-sts-v1-dev-193,nsmc-rtt,엑소 오빠들 사랑해요,사랑해요 엑소 오빠들,4.6,1.0,4.6
boostcamp-sts-v1-dev-194,slack-rtt,수강하고자 하는 의향은 있으나 Python과 AI Math 강의만 수강하다가 지쳐버렸다,수강할 의지는 있는데 파이썬과 AI 수학 강의만 듣다보니 지겨워졌다.,3.4,1.0,4.1
boostcamp-sts-v1-dev-197,slack-rtt,제가 옛날 사람이라..! 용어가 ㅎㅎ,나는 노인이다..! 용어 하하,2.0,0.0,1.5
boostcamp-sts-v1-dev-202,slack-rtt,ㅋㅋ오마이~~ 참여하고싶지만 일정이 ㅠ,ㅋㅋ 어머~~ 참여하고 싶은데 일정이 ㅠ,4.4,1.0,4.5
boostcamp-sts-v1-dev-204,slack-rtt,제 뒤의 문이 민트색인가..,내 뒤에 있는 문은 민트인가요?,3.6,1.0,3.6
boostcamp-sts-v1-dev-205,nsmc-rtt,엔딩땜에 점수높게준다.,엔딩은 당신에게 더 높은 점수를 제공합니다.,2.6,1.0,2.6
boostcamp-sts-v1-dev-206,slack-rtt,투자 잘 모르는 저한테 좋은 정보들 많이 알려 주었습니다.,투자에 대해 잘 모르는 분들에게 좋은 정보를 많이 주셨습니다.,3.4,1.0,4.5
boostcamp-sts-v1-dev-207,slack-rtt,그냥 가면 살 수 있는줄 알고 열심히 왔는데…,그냥 살 수 있는 줄 알고 왔는데...,3.4,1.0,3.0
boostcamp-sts-v1-dev-208,petition-rtt,사대보험 개인별 납부실시,4대보험부과 산정시 개인 빚도 고려해 주세요.,1.8,0.0,1.6
boostcamp-sts-v1-dev-211,nsmc-rtt,"내가 이 영화에 처음으로 평점 남기는거라 잘 좀 주고 싶지만, 시간동안 서로 농담따먹기 및 추억팔이만 하다 나머지 분도 아무것도 없이 끝난다","이 영화에 평점을 남기는 것은 처음이라 칭찬을 좀 드리고 싶지만 일단은 그냥 장난치고 추억팔고 있고, 나머지는 아무 것도 없이 끝납니다.",4.0,1.0,3.7
boostcamp-sts-v1-dev-216,nsmc-rtt,이 영화의 그 암울하고 비장미 넘치는 음악이 아직도 잊혀지지않는다.,이 영화의 어둡고 장밋빛 음악은 여전히 나를 괴롭힌다.,2.0,0.0,2.8
